"BRCA","CHOL","COAD","ESCA","HNSC"
"ENSG00000255007.1","ENSG00000151012.13","ENSG00000122584.13","ENSG00000100526.20","ENSG00000049192.15"
"ENSG00000188869.13","ENSG00000166589.13","ENSG00000178773.15","ENSG00000273232.1","ENSG00000263834.1"
"ENSG00000166670.10","ENSG00000140279.13","ENSG00000176842.15","ENSG00000180340.7","ENSG00000198178.11"
"ENSG00000286502.1","ENSG00000122133.17","ENSG00000137868.19","ENSG00000223485.4","ENSG00000174945.13"
"ENSG00000166159.11","ENSG00000103723.16","ENSG00000260604.2","ENSG00000143228.13","ENSG00000243321.3"
"ENSG00000203812.2","ENSG00000162366.8","ENSG00000257239.1","ENSG00000126709.15","ENSG00000237548.1"
"ENSG00000070886.12","ENSG00000281406.2","ENSG00000198535.5","ENSG00000053747.17","ENSG00000167634.12"
"ENSG00000217159.2","ENSG00000043039.7","ENSG00000227121.2","ENSG00000100473.18","ENSG00000154451.14"
"ENSG00000287559.1","ENSG00000177359.20","ENSG00000110195.14","ENSG00000287656.1","ENSG00000266869.2"
"ENSG00000228723.6","ENSG00000084628.10","ENSG00000212993.5","ENSG00000240280.7","ENSG00000237380.7"
"ENSG00000254654.2","ENSG00000137203.15","ENSG00000168505.7","ENSG00000124134.9","ENSG00000250697.2"
"ENSG00000116176.6","ENSG00000131746.13","ENSG00000236081.1","ENSG00000227674.3","ENSG00000177807.10"
"ENSG00000236651.1","ENSG00000262406.3","ENSG00000219222.1","ENSG00000134538.3","ENSG00000248329.6"
"ENSG00000236039.3","ENSG00000104055.16","ENSG00000107984.10","ENSG00000285278.1","ENSG00000278399.1"
"ENSG00000144045.14","ENSG00000184350.11","ENSG00000183248.12","ENSG00000141668.10","ENSG00000197172.10"
"ENSG00000184613.11","ENSG00000246228.6","ENSG00000232679.2","ENSG00000253669.4","ENSG00000283178.1"
"ENSG00000234115.2","ENSG00000178919.9","ENSG00000148702.15","ENSG00000108106.14","ENSG00000236120.7"
"ENSG00000127561.15","ENSG00000065609.14","ENSG00000236473.1","ENSG00000168779.20","ENSG00000205116.3"
"ENSG00000225438.1","ENSG00000205426.10","ENSG00000261873.2","ENSG00000071539.14","ENSG00000150276.8"
"ENSG00000253521.2","ENSG00000205002.4","ENSG00000281406.2","ENSG00000186897.5","ENSG00000183770.7"
"ENSG00000176177.10","ENSG00000123610.5","ENSG00000206069.6","ENSG00000089685.15","ENSG00000211896.7"
"ENSG00000156885.6","ENSG00000168907.13","ENSG00000137699.17","ENSG00000039600.11","ENSG00000180806.5"
"ENSG00000169900.8","ENSG00000128610.12","ENSG00000169548.3","ENSG00000232164.1","ENSG00000130635.16"
"ENSG00000272196.2","ENSG00000261068.2","ENSG00000171560.16","ENSG00000154920.15","ENSG00000127928.13"
"ENSG00000137648.19","ENSG00000259459.6","ENSG00000167656.5","ENSG00000141469.18","ENSG00000182393.3"
"ENSG00000270882.2","ENSG00000052850.8","ENSG00000245694.10","ENSG00000117650.13","ENSG00000132031.13"
"ENSG00000224209.8","ENSG00000268307.1","ENSG00000181418.8","ENSG00000131203.13","ENSG00000078098.14"
"ENSG00000105664.11","ENSG00000164362.21","ENSG00000134762.17","ENSG00000189052.7","ENSG00000105464.3"
"ENSG00000254337.2","ENSG00000180537.13","ENSG00000213293.4","ENSG00000229312.2","ENSG00000261327.5"
