"","TCGA-3X-AAV9-01A","TCGA-4G-AAZT-01A","TCGA-W5-AA2G-01A","TCGA-W5-AA2O-01A","TCGA-W5-AA30-01A","TCGA-W5-AA33-01A","TCGA-W6-AA0S-01A","TCGA-ZH-A8Y2-01A","TCGA-ZH-A8Y6-01A","TCGA-ZU-A8S4-01A","TCGA-W5-AA2I-11A","TCGA-W5-AA2Q-11A","TCGA-W5-AA2R-11A","TCGA-W5-AA2U-11A","TCGA-W5-AA2X-11A","TCGA-W5-AA30-11A","TCGA-W5-AA31-11A","TCGA-W5-AA34-11A","TCGA-ZU-A8S4-11A"
"ENSG00000272054.1","23","14","42","18","53","50","22","38","42","7","15","6","13","7","17","7","17","20","4"
"ENSG00000272055.1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"ENSG00000272056.1","2","2","1","12","4","2","4","2","6","1","0","1","0","0","1","0","1","0","0"
"ENSG00000272057.1","4","16","1","7","3","2","2","6","1","4","2","2","0","2","1","0","0","1","1"
"ENSG00000272068.1","179","294","575","1956","36","52","1240","230","862","36","1","2","4","8","7","20","4","3","1"
"ENSG00000272070.1","26","24","128","14","24","11","90","31","13","15","1","1","6","3","3","6","0","5","1"
"ENSG00000272071.1","3","9","8","1","1","8","0","4","0","1","1","0","0","0","0","0","1","0","1"
"ENSG00000272072.1","15","12","28","9","41","23","39","24","23","6","6","5","8","5","8","7","6","14","2"
"ENSG00000272075.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272076.1","2","1","1","0","7","1","2","2","6","1","1","1","1","0","0","2","0","4","0"
"ENSG00000272077.1","72","35","28","38","20","47","28","76","100","31","10","13","8","2","10","13","6","10","10"
"ENSG00000272078.1","12","8","8","24","21","31","29","15","89","13","2","5","22","2","18","2","8","2","9"
"ENSG00000272079.2","69","270","361","408","132","325","317","148","23","57","143","79","86","69","109","103","93","205","46"
"ENSG00000272080.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272081.1","18","7","22","11","10","18","8","5","10","14","13","9","5","20","13","12","7","4","16"
"ENSG00000272084.1","23","80","5","18","27","25","21","14","32","31","10","5","14","13","23","9","12","7","7"
"ENSG00000272085.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272086.1","76","525","124","150","110","168","234","444","75","64","63","59","85","59","47","72","82","76","89"
"ENSG00000272087.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272088.1","7","23","2","33","14","8","2","26","16","3","0","2","0","1","0","1","1","4","2"
"ENSG00000272092.1","10","17","8","14","24","6","47","5","18","11","7","2","3","1","6","5","3","7","3"
"ENSG00000272094.1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272096.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272097.2","10","8","12","14","22","17","11","16","19","9","3","0","0","0","7","0","2","0","1"
"ENSG00000272100.1","5","0","1","5","15","3","3","6","4","2","0","0","2","2","1","1","0","1","0"
"ENSG00000272103.2","15","2","5","10","18","11","3","4","11","5","3","0","0","2","2","3","1","5","1"
"ENSG00000272104.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272106.1","146","147","121","148","143","153","93","165","513","98","157","120","123","128","127","183","127","212","124"
"ENSG00000272108.1","8","44","8","3","2","69","1","5","86","4","0","2","0","0","3","4","0","1","0"
"ENSG00000272109.2","1","6","3","1","2","3","2","10","6","2","1","1","3","1","2","0","1","1","0"
"ENSG00000272112.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272113.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272114.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272115.1","0","0","0","1","4","1","0","2","2","1","1","0","2","0","0","0","1","1","0"
"ENSG00000272121.1","19","0","0","14","2","0","8","0","0","49","0","0","2","0","2","0","0","1","0"
"ENSG00000272123.1","9","8","5","6","13","12","16","8","14","4","10","6","7","7","16","5","6","13","10"
"ENSG00000272128.1","2","7","1","10","9","1","8","5","8","2","2","5","2","1","0","2","0","5","1"
"ENSG00000272129.1","26","10","50","8","7","16","6","7","36","27","80","71","81","71","65","53","110","95","73"
"ENSG00000272130.1","1","10","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0"
"ENSG00000272134.1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272137.1","1","4","0","2","2","12","4","11","4","2","2","2","0","1","0","0","0","0","2"
"ENSG00000272138.2","14","8","3","3","21","18","12","7","31","5","7","1","3","2","8","4","7","6","4"
"ENSG00000272139.1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272140.2","19","7","14","22","31","20","19","29","27","6","6","2","8","12","8","6","9","14","5"
"ENSG00000272141.1","88","455","98","268","215","264","56","120","130","49","12","3","10","14","28","12","1","9","10"
"ENSG00000272142.4","114","27","44","41","78","92","19","57","172","103","32","22","43","25","31","29","41","45","38"
"ENSG00000272143.1","77","71","62","55","120","48","22","75","106","94","84","103","84","168","80","127","111","162","86"
"ENSG00000272144.1","38","146","27","39","21","47","12","105","1","21","8","6","2","9","12","8","3","3","2"
"ENSG00000272145.1","16","7","45","86","117","59","25","91","39","19","16","14","10","12","26","20","13","13","7"
"ENSG00000272146.6","1","2","3","3","6","3","3","3","6","1","2","3","1","2","1","1","3","2","1"
"ENSG00000272148.1","4","19","13","36","10","17","10","18","12","10","3","1","5","7","5","1","3","5","2"
"ENSG00000272149.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272150.5","30","5","27","26","100","66","37","58","34","56","30","21","43","45","23","59","15","24","19"
"ENSG00000272153.1","19","8","9","14","22","16","11","9","26","1","11","2","11","6","15","14","10","11","11"
"ENSG00000272154.5","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272155.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272156.1","13","74","18","40","21","39","11","34","58","23","40","14","48","63","53","38","38","36","32"
"ENSG00000272157.1","10","40","0","2","8","0","0","35","0","3","0","0","0","0","0","0","0","0","1"
"ENSG00000272158.1","3","3","1","1","2","4","8","4","4","3","2","3","2","0","0","1","0","1","1"
"ENSG00000272159.1","2","3","0","1","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272160.1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"ENSG00000272161.1","1","12","4","0","7","1","1","3","2","2","0","0","0","0","2","3","0","0","0"
"ENSG00000272162.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272163.1","4","8","0","52","1","2","0","0","0","17","2","0","0","1","0","1","0","0","0"
"ENSG00000272164.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272166.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272167.2","0","0","5","3","15","10","0","8","37","0","4","0","8","8","11","2","12","15","3"
"ENSG00000272168.8","480","75","87","296","511","108","547","278","55","270","6","5","6","9","69","18","7","6","12"
"ENSG00000272170.1","6","1","2","1","9","0","0","6","4","3","1","0","0","4","1","0","0","0","0"
"ENSG00000272172.1","14","51","16","13","21","5","41","11","19","12","18","12","5","4","7","6","4","13","2"
"ENSG00000272173.1","6","4","3","9","12","3","3","4","11","0","2","0","1","2","1","5","0","2","3"
"ENSG00000272175.1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272180.1","1","0","4","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","1"
"ENSG00000272181.1","5","6","2","1","4","6","2","2","9","1","0","4","1","0","0","0","1","0","0"
"ENSG00000272182.1","0","6","1","4","0","0","1","0","2","2","1","0","0","0","1","1","1","2","0"
"ENSG00000272183.1","15","7","29","22","56","43","49","10","25","11","7","7","7","5","12","5","6","10","5"
"ENSG00000272186.1","9","7","3","3","8","7","5","4","5","2","3","3","2","0","0","2","4","3","2"
"ENSG00000272189.1","25","13","7","40","47","75","14","1","85","3","29","8","16","18","8","11","8","14","10"
"ENSG00000272192.1","4","47","1","2","2","0","9","13","0","4","0","0","0","0","0","2","0","0","2"
"ENSG00000272195.1","9","1","5","11","17","7","32","10","6","4","4","3","2","2","7","1","0","10","1"
"ENSG00000272196.2","1","3","0","1","0","0","4","1","0","1","0","0","0","0","0","0","1","0","0"
"ENSG00000272197.2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272202.1","3","13","0","4","6","1","4","2","1","3","0","0","0","0","0","0","0","0","0"
"ENSG00000272203.1","1","2","1","13","8","9","3","8","3","0","8","3","0","0","3","0","1","1","0"
"ENSG00000272205.1","8","8","3","36","37","10","29","11","8","2","2","3","0","0","3","4","3","2","1"
"ENSG00000272209.1","5","19","5","2","19","18","4","5","1","2","1","6","2","1","2","2","2","6","0"
"ENSG00000272211.1","14","0","4","5","14","13","6","2","1","3","0","0","0","0","4","1","2","0","1"
"ENSG00000272215.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272217.1","2","21","5","28","17","14","4","9","18","3","5","3","1","3","4","4","9","4","3"
"ENSG00000272218.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272219.1","0","0","0","2","0","0","0","0","0","1","1","1","1","0","0","0","0","1","0"
"ENSG00000272220.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272221.1","150","131","175","30","222","217","37","268","65","103","73","60","61","114","62","54","45","72","29"
"ENSG00000272223.1","11","19","8","17","6","7","10","3","4","2","2","1","1","2","3","8","1","5","2"
"ENSG00000272226.1","1","2","6","3","7","5","7","10","8","5","1","0","1","2","0","4","0","2","1"
"ENSG00000272230.1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272232.2","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0"
"ENSG00000272234.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272235.1","9","3","1","1","10","4","0","1","3","2","1","0","0","0","0","1","1","0","0"
"ENSG00000272236.1","2","0","1","0","4","4","10","5","0","3","2","0","0","0","1","0","0","1","0"
"ENSG00000272237.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272239.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272240.1","14","4","6","23","26","23","37","16","68","8","3","2","4","4","9","6","6","8","3"
"ENSG00000272243.6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272247.1","5","7","3","3","2","0","6","3","0","1","1","1","2","0","0","1","0","1","1"
"ENSG00000272248.1","2","0","2","2","2","10","2","2","3","1","1","0","0","0","0","1","0","1","0"
"ENSG00000272249.1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0"
"ENSG00000272253.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272254.1","0","0","0","0","2","1","1","2","2","0","0","0","0","0","0","0","1","0","0"
"ENSG00000272255.1","1","5","2","0","0","4","0","1","4","1","0","0","0","2","0","1","0","0","0"
"ENSG00000272256.1","3","8","2","3","3","3","15","1","5","2","1","3","0","2","0","1","0","1","2"
"ENSG00000272259.5","17","1","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272262.1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272263.1","9","28","2","38","6","4","7","5","4","4","1","1","1","4","1","0","0","0","0"
"ENSG00000272264.1","9","25","6","11","83","19","7","8","5","8","2","5","6","12","2","3","2","5","1"
"ENSG00000272265.1","3","16","3","5","5","2","1","4","0","0","0","0","0","0","1","0","0","0","1"
"ENSG00000272267.2","3","8","2","8","15","25","7","3","3","2","5","4","4","4","4","4","4","2","1"
"ENSG00000272269.1","25","51","15","8","22","23","25","15","10","28","16","11","19","12","23","10","15","16","15"
"ENSG00000272273.1","3","2","1","0","0","0","0","4","0","2","0","0","0","0","1","0","1","0","0"
"ENSG00000272274.2","4","2","1","0","47","4","5","1","7","0","1","0","0","3","1","5","4","3","7"
"ENSG00000272275.1","65","40","23","16","22","21","98","30","38","23","8","7","4","6","7","5","6","2","14"
"ENSG00000272277.1","12","33","3","10","5","9","10","12","9","4","2","4","0","8","5","7","2","17","2"
"ENSG00000272279.1","22","13","18","0","2","5","1","1","14","7","8","4","22","5","5","12","16","8","33"
"ENSG00000272281.6","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272282.1","70","18","16","2","32","31","1","6","119","101","3","18","16","9","13","10","5","12","15"
"ENSG00000272288.6","78","76","46","48","81","55","74","75","120","76","83","38","53","60","55","44","53","75","64"
"ENSG00000272293.1","33","80","11","6","37","8","13","13","35","13","7","1","4","6","4","7","5","2","3"
"ENSG00000272296.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272297.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272298.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272304.1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272305.5","11","22","10","7","10","9","8","10","19","15","4","2","2","9","1","4","4","5","6"
"ENSG00000272311.1","1","0","0","0","0","0","1","1","0","0","0","0","2","0","0","0","0","0","0"
"ENSG00000272312.1","2","12","4","5","6","2","5","0","0","0","0","0","0","2","2","0","0","1","0"
"ENSG00000272316.1","74","32","27","30","81","51","34","58","96","32","25","22","7","11","24","22","13","26","13"
"ENSG00000272319.2","4","5","0","0","4","12","2","4","2","0","1","1","0","2","0","1","1","0","0"
"ENSG00000272320.1","23","22","7","6","12","10","12","23","15","2","9","2","1","0","3","6","5","10","1"
"ENSG00000272321.1","26","2","1","0","0","2","0","0","2","0","0","0","1","1","1","0","0","1","0"
"ENSG00000272323.1","55","250","54","117","69","68","105","257","68","24","20","9","12","5","12","13","13","12","8"
"ENSG00000272324.5","1","0","1","1","0","0","0","1","3","0","4","2","6","2","4","0","1","4","2"
"ENSG00000272325.2","44","5","16","26","61","19","52","25","66","33","23","13","15","9","3","14","22","41","18"
"ENSG00000272328.1","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272329.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272330.1","2","10","0","0","2","0","0","0","0","1","0","1","0","2","1","0","0","0","1"
"ENSG00000272333.7","2243","1496","2501","3473","4990","6156","8200","3361","5387","1477","846","690","1078","867","1275","855","962","1031","772"
"ENSG00000272334.1","2","0","0","1","5","1","0","1","1","1","0","0","0","0","2","3","1","0","0"
"ENSG00000272335.1","240","265","555","369","473","605","612","744","357","297","257","139","180","170","238","195","210","277","188"
"ENSG00000272337.1","2","0","0","2","0","1","2","1","0","0","0","0","0","2","1","0","0","0","0"
"ENSG00000272338.2","38","87","27","22","39","23","32","35","40","27","15","14","6","19","21","16","10","16","6"
"ENSG00000272341.1","152","83","156","157","69","221","119","200","459","84","333","76","362","289","231","246","299","325","138"
"ENSG00000272342.1","0","9","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1"
"ENSG00000272343.1","25","12","4","8","3","14","9","1","22","10","5","8","4","11","10","12","9","6","8"
"ENSG00000272344.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272345.1","34","37","37","47","58","41","15","73","47","33","22","25","22","29","26","25","20","38","34"
"ENSG00000272346.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272347.1","15","16","0","6","8","12","65","7","11","4","13","12","1","12","7","7","6","8","4"
"ENSG00000272354.1","2","16","0","5","5","2","2","3","2","3","3","0","1","1","1","1","2","0","1"
"ENSG00000272356.1","32","33","23","32","83","43","13","129","100","28","25","14","11","12","30","11","17","16","14"
"ENSG00000272359.1","0","0","2","3","3","5","5","1","2","2","0","0","1","0","0","2","0","0","0"
"ENSG00000272360.1","7","0","6","4","13","9","1","14","3","6","22","22","10","16","6","13","10","27","11"
"ENSG00000272361.2","6","14","3","4","10","8","4","7","4","3","2","0","2","1","3","0","2","1","1"
"ENSG00000272362.1","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000272366.1","0","1","4","0","0","0","7","0","0","2","0","0","0","0","0","1","0","1","0"
"ENSG00000272368.2","38","153","35","21","30","35","16","38","81","23","25","23","17","24","28","18","36","24","14"
"ENSG00000272369.1","14","8","3","12","13","6","16","0","4","8","6","8","10","8","6","10","10","9","16"
"ENSG00000272370.1","13","62","8","21","21","9","19","7","14","10","4","5","2","4","3","3","4","5","4"
"ENSG00000272371.1","0","2","0","1","5","0","0","4","0","0","0","0","0","0","0","1","0","0","0"
"ENSG00000272372.1","4","0","1","0","4","3","0","2","82","0","1","1","1","1","2","2","5","1","2"
"ENSG00000272374.1","70","55","22","39","97","79","16","64","36","33","7","6","7","3","13","8","4","2","9"
"ENSG00000272375.1","7","28","4","5","26","18","3","5","10","10","5","3","10","4","4","10","7","5","4"
"ENSG00000272379.1","99","95","39","180","89","100","48","48","45","81","7","22","21","35","37","28","18","13","22"
"ENSG00000272380.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272381.2","0","2","0","0","2","1","1","2","3","0","0","0","0","0","0","1","0","0","2"
"ENSG00000272382.1","29","12","3","12","18","43","4","19","2","7","2","6","4","0","0","5","4","3","2"
"ENSG00000272383.1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272384.1","14","9","24","28","33","18","47","12","6","6","14","6","2","5","8","11","8","7","5"
"ENSG00000272386.1","0","9","1","3","8","3","3","6","1","0","1","3","0","0","2","2","1","0","0"
"ENSG00000272387.2","0","0","0","0","4","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272391.6","1096","1069","2220","2486","1653","2061","1828","2774","1683","1179","407","432","836","502","659","523","558","927","504"
"ENSG00000272393.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000272395.7","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272396.1","0","0","0","6","3","3","100","0","2","0","0","0","0","0","1","0","0","0","0"
"ENSG00000272397.1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272398.6","7798","25187","22780","13317","16607","17775","16499","12839","63791","17877","397","478","418","402","3151","953","393","829","432"
"ENSG00000272400.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272402.1","14","6","22","11","40","28","12","26","31","18","50","18","23","41","37","31","42","32","14"
"ENSG00000272405.1","447","686","1516","731","129","217","1880","1318","1452","205","1","5","24","6","40","31","7","6","3"
"ENSG00000272406.1","1","0","0","0","1","0","0","1","0","1","0","0","0","1","0","1","0","0","0"
"ENSG00000272407.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272410.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272411.1","1","0","1","0","0","0","0","1","0","0","2","2","2","1","0","2","1","3","0"
"ENSG00000272412.2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272414.6","1","0","1","1","4","0","1","1","3","0","2","0","2","0","0","1","0","0","0"
"ENSG00000272416.1","41","27","10","18","22","15","10","19","29","14","15","13","8","12","8","17","5","7","8"
"ENSG00000272417.1","2","52","0","12","17","9","10","37","3","2","2","3","0","2","2","4","2","0","0"
"ENSG00000272418.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272419.6","142","16","66","86","43","94","125","92","159","66","39","14","18","16","38","27","20","24","25"
"ENSG00000272420.1","9","30","19","64","12","10","19","32","32","8","14","3","3","6","14","3","3","9","3"
"ENSG00000272425.1","11","2","2","8","3","2","5","0","2","5","0","1","0","2","1","3","0","1","0"
"ENSG00000272426.1","0","3","2","1","2","1","4","1","0","2","0","0","4","0","0","2","0","0","0"
"ENSG00000272428.1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"ENSG00000272430.1","0","2","12","18","0","6","3","6","3","1","114","12","64","43","48","30","147","79","74"
"ENSG00000272431.1","0","0","0","0","1","6","0","4","1","0","0","0","0","1","3","0","0","0","0"
"ENSG00000272432.1","5","4","5","2","11","6","9","6","5","5","4","2","2","3","2","4","2","1","2"
"ENSG00000272434.1","2","10","1","11","4","2","5","2","6","6","2","0","1","0","1","1","0","0","0"
"ENSG00000272435.1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0"
"ENSG00000272436.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272438.1","2","4","4","2","2","2","0","1","2","2","1","1","0","0","0","0","0","0","0"
"ENSG00000272439.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272442.2","0","0","2","2","6","6","1","2","2","0","0","0","0","2","2","0","2","1","0"
"ENSG00000272443.1","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","2","0"
"ENSG00000272444.1","26","30","8","44","15","15","12","19","16","8","11","5","5","1","8","6","4","5","3"
"ENSG00000272445.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272446.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272447.1","41","39","55","71","46","37","62","58","54","45","46","36","47","31","29","40","44","52","29"
"ENSG00000272449.2","98","135","106","154","106","63","151","42","61","62","46","91","55","43","49","69","27","50","30"
"ENSG00000272455.1","48","105","108","232","119","69","54","119","80","53","39","31","26","16","20","22","12","37","14"
"ENSG00000272456.1","2","0","9","3","5","10","0","8","10","3","14","36","42","107","23","65","16","60","20"
"ENSG00000272457.1","1","0","3","0","0","1","6","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272458.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272459.1","7","7","5","22","10","3","1","5","40","6","12","4","12","15","13","6","9","35","7"
"ENSG00000272460.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272461.1","0","0","0","0","0","1","0","1","0","5","2","0","0","1","0","1","0","0","0"
"ENSG00000272462.3","136","34","78","78","148","203","54","340","566","55","85","43","102","58","61","85","77","121","57"
"ENSG00000272463.1","93","17","21","2","40","29","15","8","6","29","12","14","6","10","13","17","10","18","6"
"ENSG00000272465.1","3","7","3","2","3","5","5","2","5","9","3","2","2","5","13","7","2","5","5"
"ENSG00000272468.1","15","5","10","44","0","18","3","0","8","1","1","1","1","2","0","0","0","1","0"
"ENSG00000272469.2","0","3","0","0","1","1","1","0","0","0","0","0","0","0","1","0","0","1","0"
"ENSG00000272472.1","1","0","1","11","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272473.1","1","60","5","14","48","22","206","83","3","0","2","2","1","1","1","1","3","1","0"
"ENSG00000272474.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272476.1","10","17","29","21","38","24","16","17","18","67","24","16","13","6","13","20","19","27","23"
"ENSG00000272477.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272478.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272479.1","0","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000272480.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272482.1","23","3","17","8","12","13","17","6","22","6","14","6","42","10","9","24","14","35","8"
"ENSG00000272483.1","2","2","0","0","1","2","0","1","0","0","0","1","0","0","0","0","0","1","0"
"ENSG00000272485.1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272489.1","1","0","1","0","1","6","1","0","2","0","0","0","0","0","1","0","0","1","0"
"ENSG00000272491.1","10","4","1","4","38","15","2","32","36","1","3","2","2","4","2","2","1","0","0"
"ENSG00000272494.1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"ENSG00000272498.1","12","11","8","3","16","15","5","5","8","10","7","6","16","10","3","9","5","7","6"
"ENSG00000272501.1","64","42","42","39","88","190","73","99","49","39","49","57","44","54","49","68","35","59","18"
"ENSG00000272502.1","15","0","71","97","25","13","100","25","5","7","41","27","46","72","38","55","73","53","36"
"ENSG00000272505.1","33","34","9","14","53","32","27","29","185","14","85","15","37","41","68","21","50","121","23"
"ENSG00000272506.1","2","8","0","1","3","1","2","7","0","3","0","1","1","1","1","3","0","0","0"
"ENSG00000272507.1","1","0","1","1","11","3","0","2","4","2","6","3","2","9","13","5","5","4","2"
"ENSG00000272508.1","0","0","0","0","1","0","0","1","6","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272509.1","13","44","10","16","12","10","12","16","13","7","1","3","0","5","1","2","0","2","1"
"ENSG00000272510.1","0","4","4","5","3","0","0","1","4","0","15","5","13","8","9","11","11","25","13"
"ENSG00000272512.1","41","92","108","398","223","887","744","546","31","61","16","24","5","4","36","23","16","11","24"
"ENSG00000272514.6","0","4","1","3","2","3","1","1","8","0","0","0","0","0","0","0","0","1","0"
"ENSG00000272515.1","0","0","2","0","0","3","0","16","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000272516.1","2","0","1","0","2","0","0","1","0","3","0","0","2","1","0","0","0","2","0"
"ENSG00000272518.1","23","12","23","25","25","29","29","20","68","25","49","30","50","43","40","47","83","72","57"
"ENSG00000272519.1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ENSG00000272523.1","41","237","26","78","93","66","59","73","43","36","53","23","30","36","38","33","31","43","31"
"ENSG00000272525.1","21","48","24","80","40","23","39","27","8","10","12","6","3","11","4","8","3","3","7"
"ENSG00000272529.1","17","21","9","10","24","11","8","15","8","20","5","4","10","10","9","8","6","6","9"
"ENSG00000272533.1","0","0","1","0","3","1","1","0","3","1","0","0","3","1","0","1","2","1","2"
"ENSG00000272536.2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"ENSG00000272537.1","2","2","1","1","0","1","2","1","0","2","3","2","0","2","2","0","2","0","2"
"ENSG00000272540.1","3","5","2","9","12","5","5","8","2","3","0","1","7","2","1","2","0","1","0"
"ENSG00000272541.1","3","11","0","0","2","8","0","0","7","2","3","2","4","1","5","1","1","2","0"
"ENSG00000272542.1","3","1","0","0","8","1","0","0","2","0","0","1","0","2","0","0","1","0","0"
"ENSG00000272543.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
