"","TCGA-3X-AAV9-01A","TCGA-4G-AAZT-01A","TCGA-W5-AA2G-01A","TCGA-W5-AA2O-01A","TCGA-W5-AA30-01A","TCGA-W5-AA33-01A","TCGA-W6-AA0S-01A","TCGA-ZH-A8Y2-01A","TCGA-ZH-A8Y6-01A","TCGA-ZU-A8S4-01A","TCGA-W5-AA2I-11A","TCGA-W5-AA2Q-11A","TCGA-W5-AA2R-11A","TCGA-W5-AA2U-11A","TCGA-W5-AA2X-11A","TCGA-W5-AA30-11A","TCGA-W5-AA31-11A","TCGA-W5-AA34-11A","TCGA-ZU-A8S4-11A"
"ENSG00000006283.18","4","4","62","13","8","25","46","54","16","6","1","29","1","0","1","1","1","0","0"
"ENSG00000006327.14","7623","12036","15656","13589","2747","10634","12735","9056","4263","22823","364","564","8819","1538","1655","943","645","1320","1645"
"ENSG00000006377.11","47","5","29","3","2","0","0","0","3","0","0","0","0","0","3","0","0","0","0"
"ENSG00000006432.15","286","146","359","315","368","974","471","659","2049","185","81","39","118","89","138","56","86","103","45"
"ENSG00000006451.8","2223","1606","2851","4451","2902","2289","3217","2218","3168","3729","623","575","714","653","743","678","746","954","676"
"ENSG00000006453.14","2351","2215","5405","5808","4739","3793","5020","2237","11264","1593","1447","993","1598","1211","1019","1238","1055","1765","569"
"ENSG00000006459.11","692","171","813","347","913","1236","787","1155","1610","466","382","346","1137","764","1046","862","786","1124","743"
"ENSG00000006468.14","1270","53","251","365","1543","6129","673","620","577","1722","141","150","261","290","237","357","414","375","136"
"ENSG00000006530.18","1029","344","671","1434","2032","1041","588","974","1755","1237","541","263","363","330","468","364","464","660","352"
"ENSG00000006534.16","2512","409","820","3084","1010","654","17325","4494","176","2276","221","273","151","279","435","345","218","274","293"
"ENSG00000006555.11","936","869","419","898","2954","1098","982","2613","1064","398","156","98","554","125","191","203","180","202","74"
"ENSG00000006576.16","931","584","918","692","1102","1355","1119","793","701","1074","187","247","224","305","218","256","219","260","247"
"ENSG00000006606.9","123","15","10","1","39","6","10","5","39","34","1","3","2","0","1","6","1","2","0"
"ENSG00000006607.14","1045","528","2141","1409","2565","1603","1763","1253","2248","1075","654","450","620","423","730","493","780","894","539"
"ENSG00000006611.17","2333","18909","4915","11609","12328","6813","3745","9472","6602","1748","45","30","46","70","163","125","27","62","62"
"ENSG00000006625.18","666","868","546","1660","1065","475","668","500","683","468","312","184","247","220","225","234","306","411","270"
"ENSG00000006634.8","267","92","300","353","526","272","322","344","267","793","78","67","88","78","98","90","71","129","66"
"ENSG00000006638.13","361","283","179","182","311","223","177","99","304","403","285","328","171","194","267","360","162","235","311"
"ENSG00000006652.15","363","579","332","598","383","344","388","334","504","743","180","96","252","190","249","136","160","156","148"
"ENSG00000006659.13","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000006695.12","427","730","780","461","811","572","788","835","1299","734","281","217","224","280","302","308","503","395","283"
