"","TCGA-2H-A9GJ-01A","TCGA-IG-A5B8-01A","TCGA-JY-A6FB-01A","TCGA-KH-A6WC-01A","TCGA-L5-A4OG-01A","TCGA-L5-A4OH-01A","TCGA-L5-A4OM-01A","TCGA-L5-A88S-01A","TCGA-L5-A893-01A","TCGA-V5-A7RE-01A","TCGA-IC-A6RE-11A","TCGA-IC-A6RF-11A","TCGA-L5-A43C-11A","TCGA-L5-A4OF-11A","TCGA-L5-A4OG-11A","TCGA-L5-A4OJ-11A","TCGA-L5-A4OO-11A","TCGA-L5-A4OQ-11A","TCGA-L5-A4OR-11A","TCGA-V5-A7RE-11A","TCGA-V5-AASX-11A"
"ENSG00000278256.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278259.4","8958","1905","10510","3953","5786","6764","9141","2663","5602","3756","3235","3972","1469","3676","3492","3105","1782","1714","2052","2055","5686"
"ENSG00000278261.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278263.2","12","3","0","4","15","1","3","2","8","1","3","3","23","0","58","6","3","0","7","4","6"
"ENSG00000278264.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278265.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278266.1","425","399","21","2","7","977","114","288","35","279","4","4","11","8","57","35","54","64","23","166","29"
"ENSG00000278267.1","11","24","13","7","34","67","71","10","19","25","2","11","4","20","24","22","7","52","12","20","24"
"ENSG00000278273.1","0","0","0","0","0","0","1","0","0","0","0","0","1","2","3","3","0","1","4","1","0"
"ENSG00000278274.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278275.2","8","4","37","4","17","109","5","3","3","28","4","3","1","0","1","3","4","1","0","20","11"
"ENSG00000278276.1","3","11","2","0","4","11","5","0","2","5","0","1","5","1","0","1","2","3","1","4","1"
"ENSG00000278278.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278281.1","2","2","2","0","1","0","15","0","1","0","1","1","0","1","0","1","0","7","1","1","3"
"ENSG00000278283.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000278287.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278289.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278291.1","143","39","204","29","388","414","73","12","165","96","11","53","36","53","27","46","30","64","16","30","22"
"ENSG00000278292.1","0","3","0","6","1","0","0","0","1","0","0","0","0","0","1","1","1","0","0","6","0"
"ENSG00000278299.5","0","0","0","2","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000278301.1","2","0","0","0","1","1","11","0","1","0","0","0","0","0","0","0","0","0","0","37","0"
"ENSG00000278305.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000278311.5","6959","2621","4755","3323","5240","5339","5443","2713","4702","3395","2086","3008","2265","2508","3211","3218","2872","5990","2340","3269","5485"
"ENSG00000278313.1","2","6","5","1","5","4","6","5","6","6","2","3","0","3","6","3","0","2","0","45","4"
"ENSG00000278317.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"ENSG00000278318.5","937","192","57","99","138","19","140","89","104","3","103","128","161","270","201","456","247","596","121","18","6"
"ENSG00000278319.1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0"
"ENSG00000278324.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278328.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278330.1","85","43","77","45","43","141","50","14","53","119","18","6","5","20","54","15","18","74","9","66","87"
"ENSG00000278331.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278332.1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278333.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278334.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278337.1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","13","0"
"ENSG00000278338.4","3","4","2","6","10","5","12","1","5","1","2","13","3","1","5","4","1","11","2","12","7"
"ENSG00000278340.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278341.1","34","76","25","31","46","55","55","16","33","17","8","7","5","18","11","21","34","37","4","9","14"
"ENSG00000278342.1","4","2","4","4","3","1","1","0","11","1","0","0","2","3","2","2","2","1","1","7","23"
"ENSG00000278344.1","3","0","8","5","6","7","12","9","3","17","1","4","4","16","9","3","2","2","6","16","7"
"ENSG00000278346.1","0","0","1","0","0","1","0","0","1","4","0","0","0","0","0","0","0","1","0","23","0"
"ENSG00000278348.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","0"
"ENSG00000278349.1","0","1","0","0","3","1","6","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"ENSG00000278351.1","0","4","2","0","3","1","0","0","3","2","0","2","0","1","0","0","2","0","0","10","0"
"ENSG00000278356.1","2","7","20","10","10","20","15","5","19","39","6","7","2","4","9","13","11","4","3","31","17"
"ENSG00000278358.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278359.1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ENSG00000278367.1","4","5","4","0","2","52","5","3","5","12","2","2","1","6","6","3","3","8","1","50","23"
"ENSG00000278370.1","2","1","3","2","4","6","4","0","4","1","0","2","0","1","2","3","1","8","1","24","3"
"ENSG00000278374.1","9","13","5","4","5","27","12","3","2","18","2","0","7","7","7","10","4","0","3","16","11"
"ENSG00000278376.1","58","30","62","52","62","56","53","37","80","50","24","31","19","38","59","30","63","213","30","83","50"
