"","TCGA-3L-AA1B-01A","TCGA-A6-6653-01A","TCGA-AA-3530-01A","TCGA-AA-3556-01A","TCGA-AA-3858-01A","TCGA-AA-A00D-01A","TCGA-AY-A71X-01A","TCGA-AZ-6599-01A","TCGA-CM-6676-01A","TCGA-D5-6530-01A","TCGA-A6-2678-11A","TCGA-A6-2680-11A","TCGA-A6-5665-11A","TCGA-AA-3511-11A","TCGA-AA-3522-11A","TCGA-AA-3655-11A","TCGA-AA-3660-11A","TCGA-AA-3712-11A","TCGA-AZ-6599-11A","TCGA-AZ-6603-11A"
"ENSG00000166090.8","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","2","0","0","0","0"
"ENSG00000166091.21","5","0","1","0","0","0","0","0","0","0","33","68","7","30","20","84","19","20","33","131"
"ENSG00000166104.15","1","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","5"
"ENSG00000166105.16","1","1","0","2","1","2","1","1","0","2","1","4","4","5","2","22","2","3","1","65"
"ENSG00000166106.3","371","278","61","18","3597","23","245","18","76","225","332","340","381","438","281","395","83","399","1370","1117"
"ENSG00000166111.10","10","7","2","0","1","1","5","2","4","13","54","88","22","53","47","53","17","28","43","59"
"ENSG00000166118.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000166123.14","2595","4150","1901","2445","2304","950","3352","4727","5291","4186","1243","447","682","1102","1406","892","659","992","1699","2024"
"ENSG00000166126.11","1318","1959","813","824","1213","1485","5287","3138","2391","2742","9481","33960","5014","4116","4242","5639","6457","9044","5951","1179"
"ENSG00000166128.13","837","1336","471","734","227","384","1066","693","661","930","1370","1849","847","1508","1258","1263","844","921","1317","1477"
"ENSG00000166130.15","350","640","195","253","153","146","323","525","408","456","313","220","181","387","430","407","413","378","604","542"
"ENSG00000166133.18","391","456","336","369","959","177","743","714","608","652","712","620","286","611","945","651","463","548","646","487"
"ENSG00000166135.14","3010","2040","1445","819","953","1202","3274","2059","1990","2367","4260","3410","2329","3579","4497","2620","1582","2899","2806","3118"
"ENSG00000166136.16","197","84","299","194","276","369","235","102","143","93","271","381","136","173","311","154","122","208","156","151"
"ENSG00000166140.17","876","1175","424","564","511","294","1470","1356","869","889","1620","2314","1080","1182","2139","1436","1159","1401","1140","930"
"ENSG00000166143.10","790","1442","1042","386","930","388","1285","609","2549","491","4649","5751","3767","3110","6400","4617","4256","3104","4593","1825"
"ENSG00000166145.14","6910","17782","4778","6587","5446","2494","11463","16103","10941","16559","28076","42442","23150","16978","33883","14532","15762","18955","20634","6001"
"ENSG00000166147.14","3530","2984","751","845","1316","1768","303","168","3990","2164","6305","3838","3928","2930","4232","965","1233","2404","13707","9528"
"ENSG00000166148.4","14","159","18","9","8","16","3","15","39","29","131","57","58","55","74","54","30","65","320","138"
"ENSG00000166152.4","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"ENSG00000166153.16","40","19","16","15","12","15","64","53","55","17","41","41","17","42","38","26","37","36","38","21"
"ENSG00000166159.11","5","1","0","0","1","1","1","0","2","0","4","2","0","6","4","3","3","3","3","3"
