"","TCGA-3L-AA1B-01A","TCGA-A6-6653-01A","TCGA-AA-3530-01A","TCGA-AA-3556-01A","TCGA-AA-3858-01A","TCGA-AA-A00D-01A","TCGA-AY-A71X-01A","TCGA-AZ-6599-01A","TCGA-CM-6676-01A","TCGA-D5-6530-01A","TCGA-A6-2678-11A","TCGA-A6-2680-11A","TCGA-A6-5665-11A","TCGA-AA-3511-11A","TCGA-AA-3522-11A","TCGA-AA-3655-11A","TCGA-AA-3660-11A","TCGA-AA-3712-11A","TCGA-AZ-6599-11A","TCGA-AZ-6603-11A"
"ENSG00000266907.1","5","1","0","0","1","1","4","0","2","1","2","1","1","1","8","0","3","6","5","0"
"ENSG00000266908.2","21","0","3","0","3","0","0","1","0","0","5","1","0","1","3","1","0","0","1","2"
"ENSG00000266909.1","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0"
"ENSG00000266910.2","32","4","17","10","3","10","74","23","37","36","21","37","16","20","26","11","11","21","19","13"
"ENSG00000266913.1","2","3","2","1","1","1","0","0","2","1","4","0","1","3","0","9","0","6","3","4"
"ENSG00000266915.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266916.7","41","2","17","2","6","6","3","0","86","1","32","33","18","34","37","45","51","39","44","17"
"ENSG00000266918.1","1","0","1","2","0","0","1","2","3","0","0","1","2","0","0","0","0","4","2","1"
"ENSG00000266919.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266920.1","3","3","2","7","1","1","3","0","1","5","5","10","38","5","21","1","7","20","15","4"
"ENSG00000266921.2","14","7","4","27","1","5","25","15","9","8","17","18","7","17","16","20","18","17","13","17"
"ENSG00000266922.1","3","3","0","0","1","1","12","6","3","3","7","3","6","1","3","1","2","4","5","1"
"ENSG00000266923.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266924.1","0","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ENSG00000266925.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266928.1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"ENSG00000266929.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266931.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266932.1","1","1","0","0","0","0","2","1","1","4","2","0","0","1","2","2","2","4","1","0"
"ENSG00000266933.2","6","4","4","8","5","12","19","25","7","7","3","6","5","5","7","6","3","8","6","8"
"ENSG00000266934.1","36","2","1","2","1","2","8","8","9","1","8","5","7","8","6","0","1","10","8","7"
"ENSG00000266936.1","2","1","5","0","1","1","12","9","6","3","4","4","2","4","2","0","0","5","8","0"
"ENSG00000266938.1","0","0","0","0","2","0","0","0","1","1","0","0","2","0","0","0","0","1","0","0"
"ENSG00000266941.1","1","0","0","0","0","2","1","2","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000266943.1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
"ENSG00000266944.1","3","0","3","2","2","3","1","3","1","0","3","2","0","0","4","0","0","3","0","0"
"ENSG00000266946.1","1","1","0","2","3","0","2","0","3","0","2","1","2","0","2","0","0","1","0","1"
"ENSG00000266947.1","41","13","11","32","7","20","97","43","10","41","38","74","23","50","36","81","32","47","24","49"
"ENSG00000266950.1","2","0","1","1","0","0","0","2","2","0","0","2","0","1","0","0","0","2","3","1"
"ENSG00000266951.2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"ENSG00000266952.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266953.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266954.1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266955.1","0","0","2","0","1","0","0","0","2","1","1","1","4","3","15","0","2","1","4","1"
"ENSG00000266957.1","1","0","1","0","0","0","0","2","0","1","2","3","1","2","1","0","0","2","1","1"
"ENSG00000266959.1","4","0","0","0","0","1","1","0","0","0","1","1","2","0","0","0","1","1","0","1"
"ENSG00000266961.1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0"
"ENSG00000266962.2","113","79","58","84","106","69","175","92","131","73","104","92","65","85","135","70","68","70","85","71"
"ENSG00000266963.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"ENSG00000266964.6","5","0","1","1","0","2","1","0","12","0","16","13","6","2","6","4","7","10","7","9"
"ENSG00000266965.1","1","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","1","1","0"
"ENSG00000266967.7","124","11","73","13","20","16","121","66","69","36","27","17","37","26","22","16","12","65","30","30"
"ENSG00000266968.2","124","11","1","0","0","0","16","7","1","0","6","1320","37","2","33","4","3","4","3","6"
"ENSG00000266969.1","8","4","1","1","2","0","13","4","12","1","4","2","7","4","4","0","0","3","6","1"
"ENSG00000266970.1","4","1","5","2","5","9","11","4","8","8","2","4","2","3","8","1","2","1","14","11"
"ENSG00000266971.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266973.1","1","0","0","0","0","0","1","0","1","0","1","4","0","0","0","0","0","0","2","0"
"ENSG00000266975.1","3","0","0","0","1","0","2","1","3","1","0","3","0","0","0","1","0","1","1","0"
"ENSG00000266976.3","3","0","0","59","0","78","1","0","1","27","0","0","0","0","2","0","0","0","1","0"
"ENSG00000266977.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"ENSG00000266978.1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"ENSG00000266979.1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"ENSG00000266980.1","3","1","5","0","0","0","3","1","1","2","1","0","1","2","2","0","0","2","2","1"
"ENSG00000266981.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266983.1","20","4","5","0","2","3","30","5","22","5","6","10","6","5","3","6","2","4","10","3"
"ENSG00000266984.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"ENSG00000266985.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266987.1","1","0","0","0","1","0","0","2","2","0","1","0","0","1","3","0","1","0","0","0"
"ENSG00000266988.6","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266989.1","2","2","0","0","0","0","1","0","0","1","3","2","2","0","1","0","0","4","6","1"
"ENSG00000266990.1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1"
"ENSG00000266992.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266993.3","18","3","9","2","2","5","23","3","9","16","16","27","12","12","9","7","13","17","19","13"
"ENSG00000266994.1","0","0","0","0","0","0","1","0","0","0","0","0","0","3","1","2","1","0","0","0"
"ENSG00000266995.1","0","1","0","0","1","2","0","1","4","3","0","1","0","0","0","0","0","0","0","1"
"ENSG00000266997.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000266998.1","0","0","0","0","0","0","0","1","1","0","0","2","4","3","2","2","0","1","0","1"
"ENSG00000267000.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"ENSG00000267001.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267002.4","723","178","491","183","172","189","936","451","941","214","326","212","132","377","347","214","197","344","323","347"
"ENSG00000267004.1","0","0","0","0","1","0","2","0","0","0","0","0","0","1","1","1","0","0","3","1"
"ENSG00000267005.1","1","0","1","0","0","0","1","3","0","1","4","8","1","0","3","0","1","5","1","0"
"ENSG00000267006.1","0","4","2","0","0","1","3","0","4","0","1","2","3","3","4","1","0","3","1","0"
"ENSG00000267007.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267009.6","1","5","1","0","1","0","4","2","1","1","2","1","1","7","7","2","1","3","9","2"
"ENSG00000267011.5","5","9","1","5","0","0","8","4","2","1","3","3","1","3","4","3","7","3","7","3"
"ENSG00000267013.6","0","27","2","0","2","1","3","1","7","10","1","0","2","2","1","2","2","2","3","2"
"ENSG00000267014.6","1","0","0","0","0","0","0","1","0","0","0","2","0","2","1","2","0","1","0","8"
"ENSG00000267015.1","1","0","0","1","7","0","15","16","0","7","11","2","28","1","14","9","8","1","15","22"
"ENSG00000267016.1","6","0","0","0","0","1","3","1","0","2","0","1","3","3","2","0","0","1","3","0"
"ENSG00000267019.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267022.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267023.5","275","162","80","130","25","73","186","179","231","211","257","238","154","280","234","232","100","191","261","262"
"ENSG00000267024.1","0","0","0","0","0","0","2","1","1","0","0","0","1","0","0","2","0","1","1","0"
"ENSG00000267026.5","15","6","13","1","1","0","18","10","3","3","17","10","4","14","9","5","5","15","14","2"
"ENSG00000267027.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267028.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267030.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267032.1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000267033.1","5","1","4","1","1","1","4","1","3","2","9","7","3","2","3","0","2","9","6","3"
"ENSG00000267035.1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000267036.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267038.1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267039.1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"ENSG00000267040.6","50","20","28","8","14","18","71","54","110","23","39","31","22","65","49","49","34","49","38","29"
"ENSG00000267041.6","187","270","147","128","65","74","166","250","285","255","103","83","68","116","153","85","115","77","88","77"
"ENSG00000267042.1","0","2","0","0","0","0","0","0","0","1","0","0","0","2","1","1","0","0","2","3"
"ENSG00000267044.1","2","2","1","0","0","0","1","2","1","2","1","3","0","1","1","0","0","1","1","0"
"ENSG00000267046.1","3","1","0","0","0","3","1","0","0","4","3","3","6","5","4","2","4","4","1","8"
"ENSG00000267047.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267048.1","9","5","2","0","3","1","43","2","13","2","6","5","2","1","2","3","2","4","3","6"
"ENSG00000267049.1","5","4","5","11","10","15","17","12","9","10","5","4","2","3","11","5","3","6","12","7"
"ENSG00000267051.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267052.3","13","1","7","0","4","3","7","1","1","1","5","1","1","0","7","2","3","3","5","2"
"ENSG00000267053.8","14","0","0","0","0","0","3","2","0","1","0","1","2","2","3","0","0","7","7","6"
"ENSG00000267054.1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"ENSG00000267055.1","1","2","1","0","0","0","0","0","1","0","0","0","1","2","0","0","0","1","0","0"
"ENSG00000267056.2","57","52","75","16","37","6","79","0","4","95","108","704","2","85","1","43","23","2","2","17"
"ENSG00000267057.6","0","0","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0"
"ENSG00000267058.1","11","6","3","0","3","3","3","3","5","0","7","9","5","8","5","22","6","9","5","21"
"ENSG00000267059.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267060.7","100","169","86","12","100","42","76","114","52","91","50","94","82","38","54","121","22","51","15","87"
"ENSG00000267061.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267062.1","1","0","1","1","2","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"ENSG00000267063.1","1","1","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0"
"ENSG00000267064.2","38","2","32","25","10","9","55","31","32","5","41","28","18","44","54","29","25","44","55","20"
"ENSG00000267065.2","5","1","0","2","1","1","2","5","0","2","6","0","2","6","1","5","1","1","5","1"
"ENSG00000267066.1","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267069.1","1","0","0","2","0","0","0","0","2","1","0","11","0","0","1","6","0","1","2","12"
"ENSG00000267070.1","0","0","0","0","0","0","2","0","0","1","1","1","0","0","0","0","0","0","0","0"
"ENSG00000267072.2","0","0","0","4","0","0","3","0","1","0","2","1","3","5","2","4","5","5","1","3"
"ENSG00000267073.1","6","39","4","15","17","1","50","16","0","0","0","2","0","0","0","0","0","0","0","0"
"ENSG00000267074.1","13","5","7","3","1","12","6","4","2","9","14","10","10","23","12","21","12","17","13","23"
"ENSG00000267075.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267076.1","0","0","0","0","0","1","0","0","1","0","0","1","0","2","0","0","0","0","4","2"
"ENSG00000267077.1","4","0","0","0","1","5","1","0","0","1","2","1","1","5","2","0","2","2","0","1"
"ENSG00000267078.1","1","0","0","0","0","0","6","1","0","1","0","0","0","0","0","0","0","2","0","2"
"ENSG00000267079.1","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","7","0","1","0","2"
"ENSG00000267080.6","395","174","171","260","108","154","463","316","528","267","240","243","148","273","300","280","160","271","325","265"
"ENSG00000267081.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267082.1","131","8","48","7","8","9","85","52","47","15","21","45","7","16","21","66","6","36","14","63"
"ENSG00000267083.1","3","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","2","1","0"
"ENSG00000267084.1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267085.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267088.1","0","2","0","0","0","0","2","0","2","1","4","1","2","2","0","1","1","2","0","1"
"ENSG00000267089.1","1","2","0","0","3","1","20","1","3","3","6","6","6","2","5","3","4","3","6","3"
"ENSG00000267090.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267091.1","1","2","0","0","0","0","2","0","1","1","1","0","1","0","3","0","0","5","0","0"
"ENSG00000267092.2","2","4","0","0","1","1","11","2","2","2","1","2","1","1","2","1","1","3","0","1"
"ENSG00000267095.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267096.1","45","0","16","1","3","2","37","16","14","4","22","12","4","12","15","7","2","33","12","13"
"ENSG00000267097.1","0","0","0","0","0","0","1","0","2","0","4","1","0","0","2","4","1","2","2","0"
"ENSG00000267098.2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"ENSG00000267099.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267100.1","789","243","253","303","523","306","1346","882","1273","363","1189","920","541","1151","1107","1182","721","742","986","999"
"ENSG00000267101.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267102.1","33","1","9","3","6","4","13","12","6","6","19","12","3","18","32","10","8","8","19","33"
"ENSG00000267104.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267105.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267106.8","170","198","49","91","99","61","198","83","124","46","123","91","64","100","142","223","114","107","136","148"
"ENSG00000267107.8","282","66","14","30","29","67","24","12","82","24","138","137","46","78","83","140","81","83","119","247"
"ENSG00000267108.1","2","0","1","2","1","0","16","4","19","0","2","0","0","0","2","0","0","2","4","2"
"ENSG00000267109.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267110.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267112.1","1","0","0","0","0","0","1","0","0","1","3","2","0","1","2","1","2","2","1","1"
"ENSG00000267113.1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0"
"ENSG00000267114.1","17","0","4","0","1","2","40","11","11","3","2","5","6","9","8","9","6","8","6","15"
"ENSG00000267115.1","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","1","1","0","0","0"
"ENSG00000267116.1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267117.1","18","2","2","0","1","1","6","4","2","8","3","6","8","3","5","0","1","7","5","2"
"ENSG00000267119.1","50","7","7","5","5","18","14","8","9","5","9","26","3","7","13","14","11","14","24","6"
"ENSG00000267120.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267121.6","162","11","39","8","15","67","20","15","36","50","30","29","24","81","44","26","28","50","28","63"
"ENSG00000267122.1","2","1","0","0","0","0","1","3","0","0","6","8","2","3","4","10","4","6","2","1"
"ENSG00000267123.7","46","58","15","2","1","42","8","1","32","9","5","2","1","27","5","3","3","4","2","1"
"ENSG00000267124.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267125.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267127.7","13","9","6","2","1","6","54","4","8","12","8","9","7","4","2","2","7","4","9","19"
"ENSG00000267128.2","33","9","6","3","6","9","17","8","28","4","31","9","8","6","12","9","7","25","28","6"
"ENSG00000267129.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267130.1","12","4","3","3","8","4","34","6","6","5","16","15","7","12","10","5","7","3","10","5"
"ENSG00000267131.1","1","0","1","0","1","0","1","2","0","0","0","0","0","2","1","2","0","0","6","1"
"ENSG00000267132.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267133.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267134.3","2","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","1"
"ENSG00000267135.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267136.1","9","3","2","0","0","0","14","5","17","6","7","10","8","4","6","1","0","10","14","3"
"ENSG00000267137.1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"ENSG00000267138.1","1","0","3","1","0","1","8","4","1","0","0","0","0","2","2","4","1","3","1","0"
"ENSG00000267139.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267140.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267141.1","29","3","2","1","1","1","26","9","17","7","7","4","3","4","2","1","2","5","7","5"
"ENSG00000267142.1","1","0","0","0","1","1","0","0","0","2","0","0","1","0","0","0","1","0","1","0"
"ENSG00000267143.1","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267144.2","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0"
"ENSG00000267145.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267146.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267147.2","1","69","3","10","25","6","12","13","12","16","13","20","52","34","52","56","61","90","89","11"
"ENSG00000267148.1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0"
"ENSG00000267149.2","8","1","6","1","0","3","1","0","3","0","3","0","3","2","2","0","1","6","4","5"
"ENSG00000267150.1","6","3","2","2","2","2","11","5","15","2","3","1","2","6","2","3","1","1","5","7"
"ENSG00000267151.5","0","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0","2","0"
"ENSG00000267152.1","28","5","24","6","13","9","23","14","27","13","17","6","7","16","15","8","6","12","21","11"
"ENSG00000267153.1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0"
"ENSG00000267154.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267156.1","1","10","4","6","3","10","9","6","5","11","12","22","18","9","23","18","5","11","17","3"
"ENSG00000267157.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267159.2","2","0","0","0","1","0","1","4","3","2","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267160.1","2","2","5","4","1","1","4","0","6","0","2","3","2","1","1","5","4","0","3","2"
"ENSG00000267162.1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","1","0","0"
"ENSG00000267165.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267166.5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000267168.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267169.2","79","30","26","16","20","16","98","31","60","40","94","68","51","71","89","36","26","99","77","93"
"ENSG00000267170.1","7","0","0","2","0","1","0","0","0","0","1","0","0","0","0","1","0","2","1","1"
"ENSG00000267172.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267173.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267174.5","7","13","5","1","6","2","20","6","13","19","7","2","2","6","5","4","7","2","5","8"
"ENSG00000267175.5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000267177.1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"ENSG00000267178.3","0","0","3","0","1","2","2","0","1","1","0","0","1","3","0","0","0","1","1","0"
"ENSG00000267179.1","2","2","1","0","1","1","7","5","1","2","1","3","0","3","3","1","0","2","0","2"
"ENSG00000267180.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267182.1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0"
"ENSG00000267184.1","0","0","0","0","1","0","3","0","2","0","1","0","0","1","1","2","0","0","1","0"
"ENSG00000267185.1","11","18","8","5","10","21","27","11","11","9","16","59","14","10","15","4","11","14","12","18"
"ENSG00000267187.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"ENSG00000267188.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267189.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267190.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267191.2","14","3","3","0","1","1","5","9","4","3","7","2","3","5","1","0","1","5","4","9"
"ENSG00000267192.1","2","1","0","0","0","0","0","0","1","0","3","0","1","1","2","0","0","1","0","0"
"ENSG00000267193.7","0","0","1","0","0","0","2","2","0","1","1","0","0","0","1","0","0","0","0","3"
"ENSG00000267195.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267196.1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ENSG00000267197.1","12","2","0","0","3","3","20","5","7","7","13","6","2","5","13","4","5","12","10","9"
"ENSG00000267198.1","0","0","0","0","0","0","1","1","1","2","0","0","1","0","0","2","1","1","0","2"
"ENSG00000267199.1","24","4","9","1","2","6","74","34","57","2","7","4","6","1","5","4","1","9","28","11"
"ENSG00000267200.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267201.1","3","2","1","0","0","2","3","5","1","7","5","1","0","4","3","1","0","2","6","5"
"ENSG00000267202.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267203.1","11","1","3","3","0","0","17","3","0","2","5","17","10","4","10","2","0","11","9","3"
"ENSG00000267204.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000267205.1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000267206.6","0","0","0","1","1","1","0","0","0","0","1","7","4","2","0","0","1","6","3","4"
"ENSG00000267207.1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0"
"ENSG00000267209.5","0","0","0","0","0","0","1","1","0","2","1","0","0","1","1","0","1","0","0","1"
"ENSG00000267211.1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1"
"ENSG00000267212.1","1","0","0","0","0","1","3","0","0","0","0","1","1","0","0","0","0","1","1","0"
"ENSG00000267213.4","12","5","7","98","5","16","51","49","60","11","14","18","1","15","11","4","6","1","8","19"
"ENSG00000267214.1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0"
"ENSG00000267215.2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0"
"ENSG00000267216.1","23","21","7","8","4","5","35","20","18","17","16","11","12","11","12","11","6","8","14","6"
"ENSG00000267218.2","2","0","0","0","3","1","0","0","0","1","0","0","0","1","1","0","0","1","1","0"
"ENSG00000267219.1","5","14","0","6","3","4","21","15","15","7","20","8","6","15","18","14","14","22","12","13"
"ENSG00000267220.1","2","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","1","1"
"ENSG00000267221.3","299","107","149","157","107","75","268","249","289","220","233","185","84","173","228","184","154","180","171","58"
"ENSG00000267222.1","1","1","2","0","3","1","1","2","0","0","0","2","3","0","0","0","0","2","0","0"
"ENSG00000267223.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"ENSG00000267224.1","0","0","0","0","0","0","0","0","0","0","3","1","1","1","0","0","0","0","0","3"
"ENSG00000267225.1","0","1","0","1","0","0","1","2","0","0","0","0","2","1","1","0","0","1","0","1"
"ENSG00000267226.2","5","1","3","13","1","3","17","11","11","2","10","11","4","11","8","7","10","7","8","5"
"ENSG00000267227.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000267228.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267231.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000267232.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000267233.1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"ENSG00000267234.1","1","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","1"
