"","TCGA-A2-A0CQ-01A","TCGA-A2-A259-01A","TCGA-A7-A0CD-01A","TCGA-AN-A0FF-01A","TCGA-AR-A2LE-01A","TCGA-B6-A0IP-01A","TCGA-BH-A0B0-01A","TCGA-E2-A1IO-01A","TCGA-E9-A1R4-01A","TCGA-LD-A9QF-01A","TCGA-BH-A0BQ-11A","TCGA-BH-A0BS-11A","TCGA-BH-A0DO-11A","TCGA-BH-A0E0-11A","TCGA-BH-A0H9-11A","TCGA-BH-A1FH-11B","TCGA-E2-A1BC-11A","TCGA-E2-A1IG-11A","TCGA-E2-A1L7-11A","TCGA-E9-A1NA-11A","TCGA-E9-A1NG-11A"
"ENSG00000089060.11","3535","3394","3157","1951","1287","3860","1605","1820","1870","3119","1278","2425","2001","1812","1787","1552","1194","1570","2036","2650","2020"
"ENSG00000089063.15","8993","6634","10492","5362","5105","10615","6783","7496","5220","3167","4673","7797","5285","6548","7909","5051","6238","5866","4656","7107","7776"
"ENSG00000089091.16","735","371","438","470","295","728","412","863","612","185","412","951","628","314","222","256","108","197","428","346","240"
"ENSG00000089094.19","1454","1872","2328","2101","817","2251","942","1772","1918","1697","1344","1718","1691","1027","452","997","396","985","1696","1432","1003"
"ENSG00000089101.19","204","104","109","62","33","99","116","234","32","41","48","74","31","56","9","50","12","12","41","30","62"
"ENSG00000089116.4","2","0","0","2","7","2","0","3","0","3","0","0","1","0","0","1","0","0","0","0","0"
"ENSG00000089123.16","413","909","847","522","430","655","436","955","556","479","876","1210","860","487","290","708","195","438","889","688","596"
"ENSG00000089127.14","4419","2146","4906","10480","1055","1821","4880","1186","6869","3319","1322","1015","698","544","403","809","668","767","1860","1221","1452"
"ENSG00000089154.11","5031","11611","12119","9437","9061","11596","4444","8383","9120","5587","8409","9417","8274","7641","4491","4007","4504","6903","8644","10037","6198"
"ENSG00000089157.16","100883","90150","107881","69948","108826","133730","97378","44018","28386","122205","84986","176623","140225","169423","45869","68753","57036","47090","86547","68565","43583"
"ENSG00000089159.16","2146","3902","3321","2632","1365","3308","1395","2188","3848","2152","3475","3366","3475","2241","2405","2777","1339","3061","4263","4215","2975"
"ENSG00000089163.4","157","26","55","104","36","178","41","100","56","51","38","126","95","77","68","37","36","44","63","75","41"
"ENSG00000089169.15","2","6","4","5","4","6","0","10","3","17","95","10","5","5","4","15","49","18","5","76","10"
"ENSG00000089177.19","4631","3448","4553","4525","2965","11238","1874","13717","4937","1291","2132","3161","3444","3778","824","1249","933","2116","4108","2417","2816"
"ENSG00000089195.15","1271","1585","1617","1174","980","1626","1093","1570","1337","707","1097","1357","1153","882","421","1005","440","628","994","839","972"
"ENSG00000089199.10","4","25","0","6","4","9","11","23","15","26","22","15","40","28","12","6","8404","8","19","69","107"
"ENSG00000089220.5","41428","26372","34801","24772","20530","37291","15428","8169","15027","9814","13939","27189","21150","24582","19907","14970","16159","14554","16190","18338","15459"
"ENSG00000089225.20","183","132","180","136","83","204","277","429","127","268","64","52","222","66","513","220","179","155","172","179","372"
"ENSG00000089234.16","1945","2383","2786","2322","1594","2513","1293","1385","1721","1099","1760","2233","2085","1522","1139","1244","1022","1099","1651","1667","1715"
