"EnsemblID","GeneSymbol","Total_DEG","Total_Up","Total_Dn","RRA_Score_pvalue","padj","Rank","Category","log_p"
"ENSG00000102531.16","FNDC3A",1,0,1,1,1,4244,"Not_Significant",0
"ENSG00000065665.21","SEC61A2",1,0,1,1,1,4245,"Not_Significant",0
"ENSG00000271646.1","IRF2-DT",1,0,1,1,1,4246,"Not_Significant",0
"ENSG00000099840.14","IZUMO4",1,0,1,1,1,4247,"Not_Significant",0
"ENSG00000228701.2","TNKS2-AS1",1,0,1,1,1,4248,"Not_Significant",0
"ENSG00000170634.13","ACYP2",1,0,1,1,1,4249,"Not_Significant",0
"ENSG00000076770.14","MBNL3",1,0,1,1,1,4250,"Not_Significant",0
"ENSG00000164096.13","C4orf3",1,0,1,1,1,4251,"Not_Significant",0
"ENSG00000185808.14","PIGP",1,0,1,1,1,4252,"Not_Significant",0
"ENSG00000106591.4","MRPL32",1,0,1,1,1,4253,"Not_Significant",0
"ENSG00000225791.7","TRAM2-AS1",1,0,1,1,1,4254,"Not_Significant",0
"ENSG00000166912.17","MTMR10",1,0,1,1,1,4255,"Not_Significant",0
"ENSG00000113328.19","CCNG1",1,0,1,1,1,4256,"Not_Significant",0
"ENSG00000182934.12","SRPRA",1,0,1,1,1,4257,"Not_Significant",0
"ENSG00000121039.10","RDH10",1,0,1,1,1,4258,"Not_Significant",0
"ENSG00000242612.7","DECR2",1,0,1,1,1,4259,"Not_Significant",0
"ENSG00000116688.18","MFN2",1,0,1,1,1,4260,"Not_Significant",0
"ENSG00000144668.12","ITGA9",1,0,1,1,1,4261,"Not_Significant",0
"ENSG00000005700.15","IBTK",1,0,1,1,1,4262,"Not_Significant",0
"ENSG00000155368.16","DBI",1,0,1,1,1,4263,"Not_Significant",0
"ENSG00000197181.12","PIWIL2",1,0,1,1,1,4264,"Not_Significant",0
"ENSG00000072778.20","ACADVL",2,0,2,1,1,4265,"Not_Significant",0
"ENSG00000277972.2","CISD3",1,0,1,1,1,4266,"Not_Significant",0
"ENSG00000059691.12","GATB",1,0,1,1,1,4267,"Not_Significant",0
"ENSG00000143162.9","CREG1",1,0,1,1,1,4268,"Not_Significant",0
"ENSG00000163684.12","RPP14",1,0,1,1,1,4269,"Not_Significant",0
"ENSG00000132361.18","CLUH",1,0,1,1,1,4270,"Not_Significant",0
"ENSG00000053371.12","AKR7A2",1,0,1,1,1,4271,"Not_Significant",0
"ENSG00000078487.17","ZCWPW1",1,0,1,1,1,4272,"Not_Significant",0
"ENSG00000147475.17","ERLIN2",1,0,1,1,1,4273,"Not_Significant",0
"ENSG00000130881.14","LRP3",1,0,1,1,1,4274,"Not_Significant",0
"ENSG00000166562.9","SEC11C",1,0,1,1,1,4275,"Not_Significant",0
"ENSG00000137824.16","RMDN3",1,0,1,1,1,4276,"Not_Significant",0
"ENSG00000285665.1","TOP1P1",1,0,1,1,1,4277,"Not_Significant",0
"ENSG00000176542.10","USF3",1,0,1,1,1,4278,"Not_Significant",0
"ENSG00000178573.7","MAF",1,0,1,1,1,4279,"Not_Significant",0
"ENSG00000285632.1","AC084024.4",1,0,1,1,1,4280,"Not_Significant",0
"ENSG00000272861.1","AC012360.2",1,0,1,1,1,4281,"Not_Significant",0
"ENSG00000162241.12","SLC25A45",1,0,1,1,1,4282,"Not_Significant",0
"ENSG00000161860.8","SYCE2",2,1,1,1,1,4283,"Not_Significant",0
"ENSG00000109927.11","TECTA",1,0,1,1,1,4284,"Not_Significant",0
"ENSG00000138496.16","PARP9",2,1,1,1,1,4285,"Not_Significant",0
"ENSG00000166575.17","TMEM135",1,0,1,1,1,4286,"Not_Significant",0
"ENSG00000253598.3","SLC10A5",1,0,1,1,1,4287,"Not_Significant",0
"ENSG00000132196.15","HSD17B7",2,1,1,1,1,4288,"Not_Significant",0
"ENSG00000157399.16","ARSL",1,0,1,1,1,4289,"Not_Significant",0
"ENSG00000180011.7","ZADH2",1,0,1,1,1,4290,"Not_Significant",0
"ENSG00000172780.17","RAB43",1,0,1,1,1,4291,"Not_Significant",0
"ENSG00000163626.17","COX18",1,0,1,1,1,4292,"Not_Significant",0
"ENSG00000110060.9","PUS3",1,0,1,1,1,4293,"Not_Significant",0
"ENSG00000154642.11","C21orf91",1,0,1,1,1,4294,"Not_Significant",0
"ENSG00000125844.16","RRBP1",1,0,1,1,1,4295,"Not_Significant",0
"ENSG00000258484.4","SPESP1",1,0,1,1,1,4296,"Not_Significant",0
"ENSG00000134575.13","ACP2",1,0,1,1,1,4297,"Not_Significant",0
"ENSG00000144827.9","ABHD10",1,0,1,1,1,4298,"Not_Significant",0
"ENSG00000088280.19","ASAP3",1,0,1,1,1,4299,"Not_Significant",0
"ENSG00000167700.9","MFSD3",1,0,1,1,1,4300,"Not_Significant",0
"ENSG00000101194.18","SLC17A9",4,3,1,1,1,4301,"Not_Significant",0
"ENSG00000172840.7","PDP2",1,0,1,1,1,4302,"Not_Significant",0
"ENSG00000144749.14","LRIG1",2,0,2,1,1,4303,"Not_Significant",0
"ENSG00000104611.12","SH2D4A",1,0,1,1,1,4304,"Not_Significant",0
"ENSG00000197776.8","KLHDC1",1,0,1,1,1,4305,"Not_Significant",0
"ENSG00000170540.15","ARL6IP1",1,0,1,1,1,4306,"Not_Significant",0
"ENSG00000136630.13","HLX",1,0,1,1,1,4307,"Not_Significant",0
"ENSG00000229589.1","ACVR2B-AS1",1,0,1,1,1,4308,"Not_Significant",0
"ENSG00000133678.14","TMEM254",1,0,1,1,1,4309,"Not_Significant",0
"ENSG00000006638.13","TBXA2R",2,1,1,1,1,4310,"Not_Significant",0
"ENSG00000164342.13","TLR3",1,0,1,1,1,4311,"Not_Significant",0
"ENSG00000161542.17","PRPSAP1",1,0,1,1,1,4312,"Not_Significant",0
"ENSG00000008513.16","ST3GAL1",1,0,1,1,1,4313,"Not_Significant",0
"ENSG00000163605.15","PPP4R2",1,0,1,1,1,4314,"Not_Significant",0
"ENSG00000107745.19","MICU1",1,0,1,1,1,4315,"Not_Significant",0
"ENSG00000158793.14","NIT1",1,0,1,1,1,4316,"Not_Significant",0
"ENSG00000162572.21","SCNN1D",1,0,1,1,1,4317,"Not_Significant",0
"ENSG00000164040.18","PGRMC2",1,0,1,1,1,4318,"Not_Significant",0
"ENSG00000102796.11","DHRS12",1,0,1,1,1,4319,"Not_Significant",0
"ENSG00000136783.10","NIPSNAP3A",1,0,1,1,1,4320,"Not_Significant",0
"ENSG00000100075.10","SLC25A1",1,0,1,1,1,4321,"Not_Significant",0
"ENSG00000023697.13","DERA",1,0,1,1,1,4322,"Not_Significant",0
"ENSG00000130770.18","ATP5IF1",1,0,1,1,1,4323,"Not_Significant",0
"ENSG00000106546.14","AHR",1,0,1,1,1,4324,"Not_Significant",0
"ENSG00000226853.3","AC010894.1",1,0,1,1,1,4325,"Not_Significant",0
"ENSG00000111266.9","DUSP16",1,0,1,1,1,4326,"Not_Significant",0
"ENSG00000116717.13","GADD45A",1,0,1,1,1,4327,"Not_Significant",0
"ENSG00000145022.4","TCTA",1,0,1,1,1,4328,"Not_Significant",0
"ENSG00000270587.1","AC046185.2",1,0,1,1,1,4329,"Not_Significant",0
"ENSG00000167130.18","DOLPP1",1,0,1,1,1,4330,"Not_Significant",0
"ENSG00000100664.11","EIF5",1,0,1,1,1,4331,"Not_Significant",0
"ENSG00000204103.4","MAFB",1,0,1,1,1,4332,"Not_Significant",0
"ENSG00000122779.18","TRIM24",1,0,1,1,1,4333,"Not_Significant",0
"ENSG00000130522.6","JUND",1,0,1,1,1,4334,"Not_Significant",0
"ENSG00000136933.17","RABEPK",1,0,1,1,1,4335,"Not_Significant",0
"ENSG00000117620.15","SLC35A3",1,0,1,1,1,4336,"Not_Significant",0
"ENSG00000198585.12","NUDT16",1,0,1,1,1,4337,"Not_Significant",0
"ENSG00000175606.11","TMEM70",1,0,1,1,1,4338,"Not_Significant",0
"ENSG00000278831.1","AL513190.1",1,0,1,1,1,4339,"Not_Significant",0
"ENSG00000155906.19","RMND1",1,0,1,1,1,4340,"Not_Significant",0
"ENSG00000110871.15","COQ5",1,0,1,1,1,4341,"Not_Significant",0
"ENSG00000130349.10","MTRES1",1,0,1,1,1,4342,"Not_Significant",0
"ENSG00000139835.14","GRTP1",2,1,1,1,1,4343,"Not_Significant",0
"ENSG00000257261.6","AC008014.1",1,0,1,1,1,4344,"Not_Significant",0
"ENSG00000235903.9","CPB2-AS1",1,0,1,1,1,4345,"Not_Significant",0
"ENSG00000139405.16","RITA1",1,0,1,1,1,4346,"Not_Significant",0
"ENSG00000152558.15","TMEM123",1,0,1,1,1,4347,"Not_Significant",0
"ENSG00000196159.14","FAT4",2,1,1,1,1,4348,"Not_Significant",0
"ENSG00000157224.16","CLDN12",2,1,1,1,1,4349,"Not_Significant",0
"ENSG00000162298.19","SYVN1",1,0,1,1,1,4350,"Not_Significant",0
"ENSG00000149084.13","HSD17B12",1,0,1,1,1,4351,"Not_Significant",0
"ENSG00000175309.15","PHYKPL",1,0,1,1,1,4352,"Not_Significant",0
"ENSG00000161929.15","SCIMP",1,0,1,1,1,4353,"Not_Significant",0
"ENSG00000069869.16","NEDD4",1,0,1,1,1,4354,"Not_Significant",0
"ENSG00000186907.8","RTN4RL2",3,2,1,1,1,4355,"Not_Significant",0
"ENSG00000141098.13","GFOD2",1,0,1,1,1,4356,"Not_Significant",0
"ENSG00000129255.16","MPDU1",1,0,1,1,1,4357,"Not_Significant",0
"ENSG00000131724.11","IL13RA1",1,0,1,1,1,4358,"Not_Significant",0
"ENSG00000150540.14","HNMT",1,0,1,1,1,4359,"Not_Significant",0
"ENSG00000253878.5","AC087752.3",1,0,1,1,1,4360,"Not_Significant",0
"ENSG00000116663.11","FBXO6",1,0,1,1,1,4361,"Not_Significant",0
"ENSG00000254682.1","AP002387.1",1,0,1,1,1,4362,"Not_Significant",0
"ENSG00000117859.19","OSBPL9",1,0,1,1,1,4363,"Not_Significant",0
"ENSG00000114520.11","SNX4",1,0,1,1,1,4364,"Not_Significant",0
"ENSG00000006459.11","KDM7A",1,0,1,1,1,4365,"Not_Significant",0
"ENSG00000173992.9","CCS",1,0,1,1,1,4366,"Not_Significant",0
"ENSG00000153443.13","UBALD1",1,0,1,1,1,4367,"Not_Significant",0
"ENSG00000110046.13","ATG2A",1,0,1,1,1,4368,"Not_Significant",0
"ENSG00000100614.18","PPM1A",1,0,1,1,1,4369,"Not_Significant",0
"ENSG00000117151.13","CTBS",1,0,1,1,1,4370,"Not_Significant",0
"ENSG00000248508.8","SRP14-AS1",1,0,1,1,1,4371,"Not_Significant",0
"ENSG00000204923.4","FBXO48",1,0,1,1,1,4372,"Not_Significant",0
"ENSG00000189050.16","RNFT1",1,0,1,1,1,4373,"Not_Significant",0
"ENSG00000020577.14","SAMD4A",1,0,1,1,1,4374,"Not_Significant",0
"ENSG00000144659.13","SLC25A38",1,0,1,1,1,4375,"Not_Significant",0
"ENSG00000287126.1","AC108488.3",2,1,1,1,1,4376,"Not_Significant",0
"ENSG00000100650.16","SRSF5",1,0,1,1,1,4377,"Not_Significant",0
"ENSG00000111726.13","CMAS",1,0,1,1,1,4378,"Not_Significant",0
"ENSG00000122912.15","SLC25A16",1,0,1,1,1,4379,"Not_Significant",0
"ENSG00000147894.17","C9orf72",1,0,1,1,1,4380,"Not_Significant",0
"ENSG00000119723.17","COQ6",1,0,1,1,1,4381,"Not_Significant",0
"ENSG00000277369.1","AC010654.1",1,0,1,1,1,4382,"Not_Significant",0
"ENSG00000070159.14","PTPN3",1,0,1,1,1,4383,"Not_Significant",0
"ENSG00000176055.10","MBLAC2",1,0,1,1,1,4384,"Not_Significant",0
"ENSG00000169714.17","CNBP",1,0,1,1,1,4385,"Not_Significant",0
"ENSG00000260018.1","AC040169.1",1,0,1,1,1,4386,"Not_Significant",0
"ENSG00000138942.16","RNF185",1,0,1,1,1,4387,"Not_Significant",0
"ENSG00000185684.15","EP400P1",1,0,1,1,1,4388,"Not_Significant",0
"ENSG00000166902.5","MRPL16",1,0,1,1,1,4389,"Not_Significant",0
"ENSG00000166289.6","PLEKHF1",1,0,1,1,1,4390,"Not_Significant",0
"ENSG00000280734.3","LINC01232",2,1,1,1,1,4391,"Not_Significant",0
