"BRCA","CHOL","COAD","ESCA","HNSC"
"ENSG00000071991.9","ENSG00000166840.13","ENSG00000224585.1","ENSG00000235142.10","ENSG00000234478.1"
"ENSG00000085741.13","ENSG00000213512.3","ENSG00000171819.5","ENSG00000253671.3","ENSG00000053918.18"
"ENSG00000178828.7","ENSG00000072080.11","ENSG00000077080.10","ENSG00000232352.1","ENSG00000227959.1"
"ENSG00000123243.15","ENSG00000165682.14","ENSG00000135406.14","ENSG00000109738.11","ENSG00000152642.11"
"ENSG00000170153.11","ENSG00000103569.10","ENSG00000146469.13","ENSG00000185739.13","ENSG00000173432.12"
"ENSG00000170509.12","ENSG00000169738.8","ENSG00000250538.6","ENSG00000166292.12","ENSG00000159387.8"
"ENSG00000163661.4","ENSG00000286024.1","ENSG00000004846.16","ENSG00000123453.18","ENSG00000111404.7"
"ENSG00000171403.10","ENSG00000253196.1","ENSG00000138075.14","ENSG00000104237.11","ENSG00000185432.12"
"ENSG00000225731.1","ENSG00000160870.15","ENSG00000170382.12","ENSG00000242282.6","ENSG00000114805.18"
"ENSG00000164638.10","ENSG00000164344.16","ENSG00000065325.13","ENSG00000187486.5","ENSG00000166347.19"
"ENSG00000277494.2","ENSG00000003989.18","ENSG00000152954.12","ENSG00000196616.14","ENSG00000180287.17"
"ENSG00000006210.7","ENSG00000163032.12","ENSG00000162460.7","ENSG00000138741.11","ENSG00000166979.13"
"ENSG00000178403.4","ENSG00000143627.19","ENSG00000224968.2","ENSG00000154258.17","ENSG00000181856.15"
"ENSG00000279036.1","ENSG00000179636.15","ENSG00000166292.12","ENSG00000164742.16","ENSG00000172738.12"
"ENSG00000186205.13","ENSG00000142494.13","ENSG00000183476.12","ENSG00000186715.11","ENSG00000242550.6"
"ENSG00000109906.14","ENSG00000248050.1","ENSG00000203808.12","ENSG00000198523.6","ENSG00000102362.15"
"ENSG00000148053.17","ENSG00000258604.1","ENSG00000226629.1","ENSG00000237701.1","ENSG00000272482.1"
"ENSG00000260877.2","ENSG00000007933.13","ENSG00000230910.4","ENSG00000130653.16","ENSG00000134463.15"
"ENSG00000179428.2","ENSG00000109193.12","ENSG00000183454.18","ENSG00000055163.20","ENSG00000172927.8"
"ENSG00000149295.14","ENSG00000021852.13","ENSG00000163017.14","ENSG00000210127.1","ENSG00000281386.1"
"ENSG00000227260.2","ENSG00000187545.5","ENSG00000187140.6","ENSG00000131018.24","ENSG00000135917.16"
"ENSG00000144031.12","ENSG00000100024.15","ENSG00000234638.1","ENSG00000145864.14","ENSG00000080224.17"
"ENSG00000104112.9","ENSG00000249198.1","ENSG00000139910.20","ENSG00000254343.2","ENSG00000258818.4"
"ENSG00000189129.14","ENSG00000160339.16","ENSG00000231758.3","ENSG00000156113.24","ENSG00000130005.13"
"ENSG00000287115.1","ENSG00000286790.1","ENSG00000170743.17","ENSG00000226149.6","ENSG00000283633.1"
"ENSG00000101605.13","ENSG00000165841.11","ENSG00000229274.2","ENSG00000076864.19","ENSG00000143153.13"
"ENSG00000198099.9","ENSG00000186466.5","ENSG00000241158.7","ENSG00000262097.2","ENSG00000182195.9"
"ENSG00000124743.6","ENSG00000157103.12","ENSG00000145242.13","ENSG00000234102.1","ENSG00000163704.12"
